かな,英語,ローマ字
そうどう,disturbance,sōdō
そうば,market price,sōba
そうべつ,farewell,sōbetsu
そうべつかい,farewell party,sōbetsukai
そうり,president,sōri
そうりだいじん,prime minister,sōridaijin
そうりつ,establishment,sōritsu
そえる,add to,soeru
そーす,sauce,sōsu
ぞくする,belong to,zokusuru
ぞくぞく,in rapid succession,zokuzoku
そくたつ,special delivery,sokutatsu
そくたつびん,special delivery,sokutatsubin
そくてい,measure,sokutei
そくど,speed,sokudo
そくめん,side,sokumen
そこ,there,soko
そこ,bottom,soko
そしき,organization,soshiki
そせん,ancestor,sosen
そそぐ,pour into,sosogu
そだつ,be brought up,sodatsu
そだてる,bring up,sodateru
そち,measure,sochi
そちら,there,sochira
そつぎょう,graduation,sotsugyō
そっくり,identical,sokkuri
そっち,there,sotchi
そっちょく,frank,sotchoku
そっと,softly,sotto
そで,sleeve,sode
そと,outside,soto
そとがわ,exterior,sotogawa
そなえる,provide for,sonaeru
そのうち,before long,sonōchi
そのまま,like that,sonomama
そば,side,soba
そば,buckwheat noodles,soba
そばや,soba restaurant,sobaya
そびえる,tower,sobieru
そふ,grandfather,sofu
そふぁー,sofa,sofaa
そふと,software,sofuto
そぼ,grandmother,sobo
そめる,dye,someru
そよかぜ,breeze,soyokaze
そら,sky,sora
そる,shave,soru
それ,that,sore
それぞれ,each,sorezore
それほど,so much,sorehodo
そろう,be (all) together,sorō
そろえる,align,soroeru
そろそろ,soon,sorosoro
そん,loss,son
そんがい,damage,songai
そんけい,respect,sonkei
そんざい,existence,sonzai
ぞんざい,rough,zonzai
ぞんじる,think,zonjiru
そんする,lose,sonsuru
そんなに,that,sonnani
た,others,ta
た,rice field,ta
だい,stand,dai
だい,bigness,dai
だい,title,dai
たいいく,physical training,taiiku
だいいち,number one,daiichi
たいいん,discharge from a hospital,taiin
たいおう,correspondence,taiō
たいおん,body temperature,taion
たいおんけい,thermometer,taionkei
たいかい,mass meeting,taikai
たいがい,generally,taigai
たいかく,physique,taikaku
たいがく,withdrawal from school,taigaku
だいがく,university,daigaku
だいがくいん,graduate school,daigakuin
だいがくせい,university student,daigakusei
だいきらい,hate,daikirai
たいきん,large sum of money,taikin
だいきん,charge,daikin
だいく,carpenter,daiku
たいぐう,treatment,taigū
たいくつ,boring,taikutsu
たいけい,system,taikei
たいけん,experience,taiken
たいこ,taiko drum,taiko
たいこく,world power,taikoku
だいこん,daikon radish,daikon
たいざい,stay,taizai
たいさく,measure,taisaku
たいし,ambassador,taishi
だいじ,importance,daiji
たいしかん,embassy,taishikan
たいして,very,taishite
たいしゅう,the masses,taishū
たいじゅう,body weight,taijū
たいしょう,target,taishō
たいしょう,Taisho era,taishō
だいしょう,size,daishō
だいじょうぶ,alright,daijōbu
たいしょく,retirement,taishoku
だいじん,minister,daijin
だいすき,love,daisuki
たいする,face,taisuru
たいせい,system,taisei
たいせい,state,taisei
たいせつ,important,taisetsu
たいせん,world war,taisen
たいそう,gymnastics,taisō
たいそう,very,taisō
だいたい,outline,daitai
たいだん,interview,taidan
だいたん,boldness,daitan
たいちょう,health condition,taichō
たいてい,generally,taitei
たいど,attitude,taido
たいとう,equality,taitō
だいとうりょう,president (of a country),daitōryō
だいどころ,kitchen,daidokoro
たいひ,contrast,taihi
だいひょう,representative,daihyō
たいぷ,type,taipu
だいぶ,very,daibu
たいふう,typhoon,taifū
だいぶぶん,most,daibubun
たいぷらいたー,typewriter,taipuraitaa
たいへん,awful,taihen
だいべん,stool,daiben
たいほ,arrest,taiho
だいめい,title,daimei
だいめいし,pronoun,daimeishi
たいや,tire,taiya
たいやき,fish-shaped cake,taiyaki
だいやもんど,diamond,daiyamondo
たいよう,sun,taiyō
たいら,flat,taira
たいりく,continent,tairiku
たいりつ,opposition,tairitsu
たいりょう,large quantity,tairyō
たいりょく,physical strength,tairyoku
たいわ,dialogue,taiwa
たうえ,rice planting,taue
だうん,down,daun
たえず,constantly,taezu
たえる,withstand,taeru
たおす,bring down,taosu
たおる,towel,taoru
たおれる,fall over,taoreru
たかい,high,takai
たがい,each other,tagai
たかさ,height,takasa
たかまる,rise,takamaru
たかめる,raise,takameru
たく,cook,taku
たく,start a fire,taku
だく,hug,daku
たくさん,in large quantity,takusan
たくしー,taxi,takushii
たけ,bamboo,take
たこ,octopus,tako
たこやき,takoyaki,takoyaki
たしか,for sure,tashika
たしかめる,make sure of,tashikameru
たしざん,addition,tashizan
たしょう,a little,tashō
たす,add,tasu
だす,take out,dasu
たすう,large number,tasū
たすかる,be helped,tasukaru
たすけてください,please help me,tasukete kudasai
たすける,help,tasukeru
たずねる,visit,tazuneru
たずねる,inquire,tazuneru
ただ,free,tada
ただ,simply,tada
たたかい,war,tatakai
たたかう,wage war,tatakau
たたかう,fight,tatakau
たたく,tap,tataku
ただしい,correct,tadashii
ただちに,at once,tadachini
たたみ,tatami,tatami
たたむ,fold,tatamu
たちあがる,stand up,tachiagaru
たちいりきんし,no trespassing,tachiirikinshi
たちどまる,stop,tachidomaru
たちなおる,recover,tachinaoru
たちば,standpoint,tachiba
たちまち,in a moment,tachimachi
たつ,stand,tatsu
たつ,pass,tatsu
たつ,be built,tatsu
たつ,start,tatsu
たっきゅう,table tennis,takkyū
たっする,attain,tassuru
たっせい,attain,tassei
だっせん,derailment,dassen
たった,only,tatta
たっぷり,fully,tappuri
たて,lengthways,tate
たてかえる,pay for another,tatekaeru
たてがき,vertical writing,tategaki
たてこむ,full of,tatekomu
たてまえ,a front,tatemae
たてもの,building,tatemono
たてる,build,tateru
たてる,stand,tateru
たとえ,metaphor,tatoe
たとえ,even if,tatoe
たとえば,for example,tatoeba
たとえる,compare,tatoeru
たな,cupboard,tana
たなばた,Tanabata Festival,tanabata
たに,valley,tani
たにん,another person,tanin
たぬき,raccoon dog,tanuki
たね,seed,tane
たのしい,fun,tanoshii
たのしみ,pleasure,tanoshimi
たのしむ,enjoy,tanoshimu
たのみ,request,tanomi
たのむ,ask,tanomu
たのもしい,reliable,tanomoshii
たば,bundle,taba
たばこ,tobacco,tabako
たばこや,cigarette shop,tabakoya
たはた,fields and rice paddies,tahata
たび,journey,tabi
たびたび,often,tabitabi
だぶだぶ,baggy,dabudabu
たぶん,probably,tabun
たべもの,food,tabemono
たべる,eat,taberu
たほう,other side,tahō
たぼう,very busy,tabō
たま,bullet,tama
たま,bead,tama
たまご,egg,tamago
たまごやき,rolled omelet,tamagoyaki
だます,deceive,damasu
たまたま,by chance,tamatama
たまに,occasionally,tamani
たまねぎ,onion,tamanegi
たまらない,can't stand,tamaranai
たまる,accumulate,tamaru
だまる,become silent,damaru
だむ,dam,damu
ため,sake,tame
だめ,no good,dame
ためいき,sigh,tameiki
ためし,trial,tameshi
ためす,try,tamesu
ためる,store,tameru
たもつ,preserve,tamotsu
たより,news,tayori
たよる,rely on,tayoru
だらしない,slovenly,darashinai
たりょう,large quantity,taryō
たりる,suffice,tariru
だるい,be dull,darui
だれ,who,dare
だれか,someone,dareka
たれんと,celebrity,tarento
だん,step,dan
たんい,unit,tan'i
だんかい,stage,dankai
たんき,short-term,tanki
たんき,short temper,tanki
たんきだいがく,junior college,tankidaigaku
たんくとっぷ,tank top,tankutoppu
たんご,word,tango
だんご,rice dumpling,dango
たんさんすい,sparkling water,tansansui
だんし,boy,danshi
たんしゅく,shortening,tanshuku
たんじゅん,simple,tanjun
たんしょ,shortcoming,tansho
だんじょ,men and women,danjo
たんじょう,birth,tanjō
たんじょうび,birthday,tanjōbi
たんす,chest of drawers,tansu
だんす,dance,dansu
だんすい,water stoppage,dansui
たんすう,singular,tansū
だんせい,male,dansei
だんせいてき,masculine,danseiteki
たんだい,junior college,tandai
だんたい,group,dantai
だんだん,gradually,dandan
だんち,housing estate,danchi
たんちょう,monotonous,tanchō
だんてい,decision,dantei
たんとう,person in charge,tantō
たんに,merely,tanni
たんにん,supervisor,tannin
たんぱくしつ,protein,tanpakushitsu
たんばりん,tambourine,tanbarin
たんぼ,rice field,tanbo
だんぼう,heating,danbō
たんぽぽ,dandelion,tanpopo
だんらく,end of paragraph,danraku
ち,blood,chi
ち,ground,chi
ちい,position,chii
ちいき,region,chiiki
ちーく,blush,chiiku
ちいさい,small,chiisai
ちーず,cheese,chiizu
ちーむ,team,chiimu
ちぇんじ,change,chenji
ちか,underground,chika
ちか,price of land,chika
ちかい,near,chikai
ちがい,difference,chigai
ちがいない,no mistaking it,chigainai
ちかう,vow,chikau
ちがう,differ,chigau
ちかく,near,chikaku
ちかく,vicinity,chikaku
ちかごろ,recently,chikagoro
ちかづく,approach,chikazuku
ちかづける,bring close,chikazukeru
ちかてつ,subway,chikatetsu
ちかどう,underpass,chikadō
ちかみち,shortcut,chikamichi
ちかよる,go near,chikayoru
ちから,strength,chikara
ちからづよい,powerful,chikarazuyoi
ちきゅう,the Earth,chikyū
ちぎる,tear,chigiru
ちぎれる,be torn off,chigireru
ちきん,chicken,chikin
ちけい,geographical features,chikei
ちけっと,ticket,chiketto
ちこく,tardiness,chikoku
ちじ,governor,chiji
ちしき,knowledge,chishiki
ちじょう,above ground,chijō
ちじん,acquaintance,chijin
ちず,map,chizu
ちたい,zone,chitai
ちち,(speaker's)father,chichi
ちちおや,father,chichioya
ちぢまる,be shortened,chijimaru
ちぢみ,shrinkage,chijimi
ちぢむ,shrink,chijimu
ちぢめる,contract,chijimeru
ちつじょ,order,chitsujo
ちっとも,nothing at all,chittomo
ちてき,intellectual,chiteki
ちてん,spot,chiten
ちのう,intelligence,chinō
ちへいせん,horizon,chiheisen
ちほう,district,chihō
ちめい,place name,chimei
ちゃ,tea (plain form),cha
ちゃいろ,light brown,chairo
ちゃくせき,taking a seat,chakuseki
ちゃくりく,landing,chakuriku
ちゃぶだい,Japanese floor table,chabudai
ちゃわん,tea cup,chawan
ちゃんす,chance,chansu
ちゃんと,regularly,chanto
ちゃんねる,channel,channeru
ちゅう,annotation,chū
ちゅう,middle,chū
ちゅうい,attention,chūi
ちゅういぶかい,careful,chūibukai
ちゅうおう,center,chūō
ちゅうがく,junior high school,chūgaku
ちゅうがくせい,junior high school student,chūgakusei
ちゅうがっこう,junior high school,chūgakkō
ちゅうかん,middle,chūkan
ちゅうきゅう,middle-class,chūkyū
ちゅうけい,relay,chūkei
ちゅうこ,secondhand goods,chūko
ちゅうこく,advice,chūkoku
ちゅうし,suspension,chūshi
ちゅうじつ,faithfulness,chūjitsu
ちゅうしゃ,injection,chūsha
ちゅうしゃ,parking,chūsha
ちゅうしゃじょう,parking area,chūshajō
ちゅうじゅん,middle ten days of a month,chūjun
ちゅうしょうてき,abstract,chūshōteki
ちゅうしょく,lunch,chūshoku
ちゅうしん,center,chūshin
ちゅうせい,Middle Ages,chūsei
ちゅうだん,interruption,chūdan
ちゅうと,halfway,chūto
ちゅうどく,poisoning,chūdoku
ちゅうねん,middle age,chūnen
ちゅうはい,chu-hai (shochu cocktail),chūhai
ちゅうもく,attention,chūmoku
ちゅうもん,order,chūmon
ちゅうりつ,neutrality,chūritsu
ちゅうりゅう,mid-stream,chūryū
ちょう,intestines,chō
ちょう,public office,chō
ちょうか,excess,chōka
ちょうかん,morning edition,chōkan
ちょうき,long period,chōki
ちょうさ,investigation,chōsa
ちょうし,tone,chōshi
ちょうしょ,strong point,chōsho
ちょうじょ,eldest daughter,chōjo
ちょうじょう,summit,chōjō
ちょうしょく,breakfast,chōshoku
ちょうせい,regulation,chōsei
ちょうせつ,adjustment,chōsetsu
ちょうせん,challenge,chōsen
ちょうだい,getting,chōdai
ちょうちょ,butterfly,chōcho
ちょうど,just,chōdo
ちょうなん,eldest son,chōnan
ちょうほうけい,rectangle,chōhōkei
ちょうみりょう,seasoning,chōmiryō
ちょうわ,harmony,chōwa
ちょーく,chalk,chōku
ちょきん,savings,chokin
ちょくご,immediately after,chokugo
ちょくせつ,directly,chokusetsu
ちょくせん,straight line,chokusen
ちょくぜん,just before,chokuzen
ちょくつう,direct link,chokutsū
ちょこれーと,chocolate,chokorēto
ちょしゃ,author,chosha
ちょしょ,literary work,chosho
ちょっかく,right angle,chokkaku
ちょっけい,diameter,chokkei
ちょっと,just a moment,chotto
ちらかす,scatter,chirakasu
ちらかる,lie scattered about,chirakaru
ちらばる,be scattered,chirabaru
ちり,geography,chiri
ちり,dust,chiri
ちりょう,medical treatment,chiryō
ちる,scatter,chiru
ちんぼつ,sinking,chinbotsu
つい,inadvertently,tsui
つい,pair,tsui
ついか,addition,tsuika
ついしん,P.S.,tsuishin
ついせき,pursuit,tsuiseki
ついたち,1st of the month,tsuitachi
ついで,on the way,tsuide
ついとつ,collision,tsuitotsu
ついに,at last,tsuini
ついほう,banishment,tsuihō
ついやす,expend,tsuiyasu
ついらく,fall,tsuiraku
つうか,passing,tsūka
つうがく,attending school,tsūgaku
つうきん,commuting,tsūkin
つうこう,passage,tsūkō
つうこうどめ,road closed,tsūkōdome
つうじょう,common,tsūjō
つうじる,pass,tsūjiru
つうしん,correspondence,tsūshin
つうち,notification,tsūchi
つうちょう,bankbook,tsūchō
つうやく,interpreting,tsūyaku
つうろ,passage,tsūro
つかい,errand,tsukai
つかいみち,use,tsukaimichi
つかう,use,tsukau
つかまえる,arrest,tsukamaeru
つかまる,be caught,tsukamaru
つかまる,grip,tsukamaru
つかむ,grip,tsukamu
つかれ,fatigue,tsukare
つかれる,get tired,tsukareru
つき,moon,tsuki
つぎ,next,tsugi
つきあい,friendship,tsukiai
つきあう,socialize with,tsukiau
つきあたり,end of a street,tsukiatari
つきあたる,hit against,tsukiataru
つぎつぎに,one after another,tsugitsugini
つきはじめ,at the beginning of the month,tsukihajime
つきひ,time,tsukihi
つきみ,moon viewing,tsukimi
つきよ,moonlit night,tsukiyo
つく,be on,tsuku
つく,arrive,tsuku
つく,attach itself to,tsuku
つく,set about a task,tsuku
つく,thrust,tsuku
つぐ,pour,tsugu
つぐ,rank next to,tsugu
つぐ,succeed,tsugu
つくえ,desk,tsukue
つくづく,truly,tsukuzuku
つくりあげる,make up,tsukuriageru
つくりばなし,fable,tsukuribanashi
つくる,make,tsukuru
つけくわえる,add,tsukekuwaeru
つけたす,add on,tsuketasu
つけもの,pickle,tsukemono
つける,switch on,tsukeru
つける,attach,tsukeru
つける,pull up,tsukeru
つける,pickle,tsukeru
つごう,circumstances,tsugō
つたえる,convey,tsutaeru
つたわる,be transmitted,tsutawaru
つち,soil,tsuchi
つづき,continuation,tsuzuki
つづく,continue,tsuzuku
つづける,continue,tsuzukeru
つっこむ,thrust in,tsukkomu
つつじ,azalea,tsutsuji
つつみ,package,tsutsumi
つつみがみ,wrapping paper,tsutsumigami
つつむ,wrap,tsutsumu
つとめ,service,tsutome
つとめ,duty,tsutome
つとめさき,employment,tsutomesaki
つとめる,serve,tsutomeru
つとめる,endeavor,tsutomeru
つとめる,perform a duty,tsutomeru
つな,rope,tsuna
つながり,connection,tsunagari
つながる,connect,tsunagaru
つなぐ,connect,tsunagu
つねに,always,tsuneni
つば,saliva,tsuba
つばき,camellia,tsubaki
つばめ,swallow,tsubame
つぶ,grain,tsubu
つぶす,crush,tsubusu
つぶやく,mutter,tsubuyaku
つぶる,close,tsuburu
つぶれる,crush,tsubureru
つぼみ,bud,tsubomi
つま,wife,tsuma
つまずく,stumble,tsumazuku
つまむ,munch on,tsumamu
つまらない,boring,tsumaranai
つまり,in short,tsumari
つまる,be stuffed,tsumaru
つみ,crime,tsumi
つむ,pile up,tsumu
つめ,nail,tsume
つめきり,nail clipper,tsumekiri
つめたい,cold (things,tsumetai
つめる,stuff,tsumeru
つもり,intention,tsumori
つもる,accumulate,tsumoru
つゆ,rainy season,tsuyu
つゆ,dew,tsuyu
つゆあけ,end of the rainy season,tsuyuake
つゆいり,start of the rainy season,tsuyuiri
つよい,strong,tsuyoi
つよき,tough,tsuyoki
つよさ,strength,tsuyosa
つよまる,become strong,tsuyomaru
つよめる,strengthen,tsuyomeru
つらい,difficult,tsurai
つり,angling,tsuri
つりあい,balance,tsuriai
つりあう,balance,tsuriau
つる,crane,tsuru
つる,angle,tsuru
つるす,hang,tsurusu
つるつる,smooth,tsurutsuru
つれ,companion,tsure
つれていく,take (a person) along,tsureteiku
つれてくる,bring (a person),tsuretekuru
つれる,take along,tsureru
て,hand,te
であう,meet,deau
てあし,hands and feet,teashi
てあて,allowance,teate
てあらい,toilet,tearai
てい,low,tei
ていあん,proposition,teian
てぃーしゃつ,T-shirt,teiishatsu
ていいん,fixed staff number,teiin
ていおん,low temperature,teion
ていか,fixed price,teika
ていき,fixed term,teiki
ていぎ,definition,teigi
ていきあつ,low pressure,teikiatsu
ていきけん,commuter's pass,teikiken
ていきゅうび,regular holiday,teikyūbi
ていきょう,offer,teikyō
ていこう,resistance,teikō
ていし,stop,teishi
ていしゃ,stoppage,teisha
ていしゅつ,submittal,teishutsu
ていしょく,day's special,teishoku
でぃすこ,disco,disuko
ていせい,correction,teisei
てぃっしゅ,tissue,teisshu
ていでん,power cut,teiden
ていど,degree,teido
ていねい,polite,teinei
ていねん,mandatory retirement age,teinen
でいり,coming and going,deiri
でいりぐち,doorway,deiriguchi
ていりゅうじょ,stop,teiryūjo
ていれ,care,teire
でーた,data,dēta
でーと,date,dēto
てーぷ,tape,tēpu
てーぶる,table,tēburu
てーぷれこーだー,tape recorder,tēpurekōdaa
てーま,the theme,tēma
でかける,go out,dekakeru
てがみ,letter,tegami
てがる,easy,tegaru
てき,enemy,teki
できあがり,completion,dekiagari
できあがる,be completed,dekiagaru
てきおう,adaptation,tekiō
できごと,occurrence,dekigoto
てきすと,textbook,tekisuto
てきする,suit,tekisuru
てきせつ,appropriate,tekisetsu
てきど,moderate,tekido
てきとう,suitable,tekitō
てきよう,application,tekiyō
できる,can do,dekiru
できるだけ,as much as possible,dekirudake
でぐち,exit,deguchi
てくび,wrist,tekubi
でこぼこ,unevenness,dekoboko
でざーと,dessert,dezaato
でざいん,design,dezain
てすう,trouble,tesū
てすと,test,tesuto
てちょう,pocketbook,techō
てつ,iron,tetsu
てつがく,philosophy,tetsugaku
てつだい,help,tetsudai
てつだう,help,tetsudau
てつづき,procedure,tetsuzuki
てっていてき,thorough,tetteiteki
てつどう,railway,tetsudō
てつや,staying up all night,tetsuya
てにす,tennis,tenisu
てにもつけんさ,security screening,tenimotsu kensa
てのひら,palm,tenohira
でぱーと,department store,depaato
てぶくろ,gloves,tebukuro
てほん,model,tehon
てま,trouble,tema
てまえ,in front,temae
でまえ,home delivery of food,demae
でむかえ,meeting,demukae
でも,demonstration,demo
てもと,at hand,temoto
てら,buddhist temple,tera
てらす,illuminate,terasu
てる,shine,teru
でる,go out,deru
てれび,television,terebi
てん,point,ten
てん,sky,ten
てんいん,clerk,ten'in
てんかい,unfolding,tenkai
てんき,weather,tenki
でんき,electricity,denki
てんきあめ,sunshower,tenkiame
でんきゅう,light bulb,denkyū
てんきよほう,weather forecast,tenkiyohō
てんきん,transfer,tenkin
てんけい,type,tenkei
てんけいてき,typical,tenkeiteki
てんこう,weather,tenkō
てんごく,paradise,tengoku
でんごん,verbal message,dengon
てんさい,genius,tensai
てんさい,natural disaster,tensai
でんし,electron,denshi
でんしゃ,train,densha
てんじょう,ceiling,tenjō
でんしれんじ,microwave,denshirenji
てんすう,points,tensū
でんせつ,legend,densetsu
でんせん,electric wire,densen
でんせん,contagion,densen
でんたく,pocket calculator,dentaku
でんち,electric cell,denchi
てんと,tent,tento
でんとう,tradition,dentō
でんとう,lamp,dentō
てんとうむし,ladybug,tentōmushi
てんねん,nature,tennen
てんのう,emperor,tennō
てんぷら,tempura,tenpura
てんぽ,tempo,tenpo
でんぽう,telegram,denpō
てんらんかい,exhibition,tenrankai
でんりょく,electric power,denryoku
でんわ,phone,denwa
でんわちょう,telephone book,denwachō
と,door,to
と,metropolis of Tokyo,to
どあ,door,doa
とい,question,toi
といあわせる,inquire,toiawaseru
といれ,toilet,toire
といれっとぺーぱー,toilet paper,toirettopēpaa
とう,political party,tō
とう,island,tō
とう,ask,tō
とう,tower,tō
どう,how,dō
どう,copper,dō
とうあん,examination paper,tōan
どうい,consent,dōi
とういつ,unity,tōitsu
どういつ,sameness,dōitsu
どうか,please,dōka
とうき,winter season,tōki
どうきゅうせい,classmate,dōkyūsei
どうきょ,living together,dōkyo
とうきょく,the authorities concerned,tōkyoku
どうぐ,tool,dōgu
とうげ,mountain pass,tōge
とうけい,statistics,tōkei
とうこう,attending school,tōkō
とうごう,integration,tōgō
どうこう,trend,dōkō
どうさ,movements,dōsa
とうざい,east and west,tōzai
とうさん,insolvency,tōsan
とうし,investment,tōshi
とうじ,at that time,tōji
どうし,fellow,dōshi
どうし,verb,dōshi
どうじ,simultaneous,dōji
とうじつ,that day,tōjitsu
どうして,why,dōshite
どうしても,by any means,dōshitemo
とうしょ,original,tōsho
とうしょ,contribution,tōsho
とうじょう,appearance on stage,tōjō
どうじょう,sympathy,dōjō
どうせ,anyway,dōse
どうせい,of the same sex,dōsei
どうせい,same surname,dōsei
とうせん,election to office,tōsen
とうぜん,natural,tōzen
どうぞ,please,dōzo
とうたつ,arrival,tōtatsu
とうちゃく,arrival,tōchaku
とうてい,after all,tōtei
とうとい,precious,tōtoi
とうとう,at last,tōtō
どうとう,equality,dōtō
どうとく,morality,dōtoku
とうなん,robbery,tōnan
どうにか,somehow,dōnika
どうにゅう,introduction,dōnyū
とうにん,the person in question,tōnin
とうばん,being on duty,tōban
とうひょう,vote,tōhyō
とうふ,tofu,tōfu
どうふう,enclosure,dōfū
どうぶつ,animal,dōbutsu
どうぶつえん,zoo,dōbutsuen
とうぶん,for some time,tōbun
とうめい,transparent,tōmei
どうも,for some reason,dōmo
とうもろこし,corn,tōmorokoshi
どうやら,seems,dōyara
とうゆ,kerosene,tōyu
とうよう,Orient,tōyō
どうよう,similar,dōyō
どうりょく,power,dōryoku
どうろ,road,dōro
とうろく,registration,tōroku
とうろん,debate,tōron
とおい,far,tōi
とおか,ten days,tōka
とおく,great distance,tōku
とおす,let pass,tōsu
とーすと,toast,tōsuto
どーなつ,donut,dōnatsu
とおり,passage,tōri
とおりかかる,happen to pass by,tōrikakaru
とおりすぎる,go past,tōrisugiru
とおる,pass,tōru
とかい,city,tokai
とかす,dissolve,tokasu
とがる,be sharp,togaru
とき,time,toki
どきっと,surprised,dokitto
ときどき,sometimes,tokidoki
どきどき,feel excited,dokidoki
とく,solve,toku
とく,gain,toku
とく,explain,toku
どく,move out of the way,doku
どく,poison,doku
とくい,one's forte,tokui
どくしゃ,reader,dokusha
とくしゅ,special,tokushu
どくしょ,reading a book,dokusho
とくしょく,characteristic,tokushoku
どくしん,single life,dokushin
とくする,profit,tokusuru
どくせん,exclusive possession,dokusen
とくちょう,distinctive feature,tokuchō
とくてい,specific,tokutei
どくとく,peculiarity,dokutoku
とくに,specially,tokuni
とくべつ,special,tokubetsu
とくゆう,characteristic,tokuyū
どくりつ,independence,dokuritsu
とけい,clock,tokei
とける,solve,tokeru
とける,be dissolved,tokeru
とげる,accomplish,togeru
どこ,where,doko
とこや,barber,tokoya
ところ,place,tokoro
ところどころ,here and there,tokorodokoro
とさか,comb (chicken),tosaka
とざん,climbing,tozan
とし,year,toshi
とし,cities,toshi
としうえ,older,toshiue
としした,younger,toshishita
としつき,time,toshitsuki
としょ,books,tosho
としょかん,library,toshokan
としょしつ,library,toshoshitsu
としより,old person,toshiyori
とじる,close,tojiru
とじる,bind,tojiru
としん,heart of a city,toshin
とだな,closet,todana
とち,land,tochi
とちゅう,on the way,tochū
とちょう,Tokyo Metropolitan City Hall,tochō
どちら,which,dochira
とっきゅう,super-express,tokkyū
とっくに,long ago,tokkuni
とっさに,at once,tossani
とつぜん,abruptly,totsuzen
どっち,which,dotchi
どっと,burst (out laughing),dotto
とっぷ,top,toppu
とても,very,totemo
とどく,reach,todoku
とどけ,report,todoke
とどける,deliver,todokeru
ととのう,be in order,totonō
ととのえる,arrange,totonoeru
とない,in the metropolitan area of Tokyo,tonai
となかい,reindeer,tonakai
どなた,who,donata
となり,neighboring house,tonari
となりあう,adjoin,tonariau
とにかく,in any case,tonikaku
とばす,fly,tobasu
とびあがる,fly up,tobiagaru
とびおりる,jump off,tobioriru
とびこむ,dive into,tobikomu
とびだす,fly out,tobidasu
とびら,door,tobira
とぶ,fly,tobu
とほ,walking,toho
とぼしい,scarce,toboshii
とまと,tomato,tomato
とまる,stay overnight,tomaru
とまる,come to a stop,tomaru
とむ,be rich,tomu
とめる,stop,tomeru
とめる,lodge,tomeru
とも,friend,tomo
ともかく,at least,tomokaku
ともだち,friend,tomodachi
ともなう,accompany,tomonau
ともに,together,tomoni
どようび,Saturday,doyōbi
どらいぶ,drive,doraibu
とらっく,truck,torakku
どらっぐすとあ,drugstore,doraggu sutoa
どらま,drama,dorama
どらやき,sweet bean pancake,dorayaki
とらんぷ,(a pack of) cards,toranpu
とり,bird,tori
とりあえず,for now,toriaezu
とりあげる,take up,toriageru
とりあつかい,handling,toriatsukai
とりあつかう,handle,toriatsukau
とりい,torii gate,torii
とりいれる,take in,toriireru
とりかえす,take back,torikaesu
とりかえる,change,torikaeru
とりきめ,decision,torikime
とりくむ,grapple,torikumu
とりけし,cancellation,torikeshi
とりけす,cancel,torikesu
とりしまり,regulation,torishimari
とりしまる,control,torishimaru
とりだす,take out,toridasu
とりつ,metropolitan,toritsu
とりつぐ,relay a message,toritsugu
とりひき,transaction,torihiki
とりもどす,take back,torimodosu
どりょく,endeavor,doryoku
とる,take,toru
とる,photograph,toru
とる,gather,toru
どる,dollar,doru
どれ,what,dore
とれーにんぐ,training,torēningu
どれす,dress,doresu
どれっさー,dresser,doressaa
とれる,come off,toreru
とれる,be harvested,toreru
どろ,mud,doro
どろぼう,thief,dorobō
どわすれ,memory lapse,dowasure
とんかつ,pork cutlet,tonkatsu
どんかん,thick-headedness,donkan
とんでもない,unthinkable,tondemonai
とんとん,tapping,tonton
どんどん,knock,dondon
どんどん,steadily,dondon
どんなに,how much,donnani
とんねる,tunnel,tonneru
どんぶり,bowl,donburi
とんぼ,dragonfly,tonbo
とんや,wholesale store,tonya
な,name,na
ない,to not be,nai
ないか,internal medicine,naika
ないかく,cabinet,naikaku
ないしょ,secrecy,naisho
ないしん,back of one's mind,naishin
ないぞう,internal organs,naizō
ないふ,knife,naifu
ないぶ,interior,naibu
ないよう,contents,naiyō
ないりく,inland,nairiku
ないろん,nylon,nairon
なお,still,nao
なおす,repair,naosu
なおす,cure,naosu
なおる,be repaired,naoru
なおる,be cured,naoru
なか,inside,naka
なか,personal relationship,naka
ながい,long,nagai
ながいき,long life,nagaiki
ながさ,length,nagasa
ながす,let flow,nagasu
ながそで,clothes with long sleeves,nagasode
ながつづき,lasting for a long time,nagatsuzuki
なかなおり,reconciliation,nakanaori
なかなか,not at all,nakanaka
なかなか,rather,nakanaka
ながねん,many years,naganen
なかば,middle,nakaba
ながばなし,long conversation,nagabanashi
ながびく,be prolonged,nagabiku
なかま,comrade,nakama
なかみ,content,nakami
ながめ,view,nagame
ながめる,look out,nagameru
ながもち,endurance,nagamochi
なかゆび,middle finger,nakayubi
なかよく,harmoniously,nakayoku
なかよし,good friend,nakayoshi
ながらく,for a long time,nagaraku
ながれ,flow,nagare
ながれる,flow,nagareru
なきがお,tear-stained face,nakigao
なきごえ,tearful voice,nakigoe
なく,cry,naku
なく,cry,naku
なぐさめる,console,nagusameru
なくす,lose,nakusu
なくす,lose (in death),nakusu
なくなる,disappear,nakunaru
なくなる,die,nakunaru
なぐる,hit,naguru
なげく,sigh,nageku
なげる,throw,nageru
なこうど,go-between,nakōdo
なごやか,peaceful,nagoyaka
なさけない,pitiful,nasakenai
なさる,do,nasaru
なす,eggplant,nasu
なぜ,why,naze
なぜか,for some reason,nazeka
なぞ,puzzle,nazo
なつ,summer,natsu
